"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Bangladesh";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"1140";""
"Bangladesh";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"1364";""
"Bangladesh";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"1236";""
"Bangladesh";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"1169";""
"Bangladesh";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"1018";""
"Bangladesh";"Conventional crude oil - imports";"1991";"Metric tons,  thousand";"1182";""
"Bangladesh";"Conventional crude oil - imports";"1990";"Metric tons,  thousand";"948";""
"Barbados";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"178";""
"Barbados";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"158";""
"Barbados";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"164";""
"Barbados";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"118";""
"Barbados";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"200";"1"
"Barbados";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"142";""
"Barbados";"Conventional crude oil - imports";"1991";"Metric tons,  thousand";"220";"1"
"Barbados";"Conventional crude oil - imports";"1990";"Metric tons,  thousand";"225";"1"
"Belarus";"Conventional crude oil - imports";"2014";"Metric tons,  thousand";"22508";""
"Belarus";"Conventional crude oil - imports";"2013";"Metric tons,  thousand";"21261";""
"Belarus";"Conventional crude oil - imports";"2012";"Metric tons,  thousand";"21669";""
"Belarus";"Conventional crude oil - imports";"2011";"Metric tons,  thousand";"20436";""
"Belarus";"Conventional crude oil - imports";"2010";"Metric tons,  thousand";"14739";""
"Belarus";"Conventional crude oil - imports";"2009";"Metric tons,  thousand";"21509";""
"Belarus";"Conventional crude oil - imports";"2008";"Metric tons,  thousand";"21461";""
"Belarus";"Conventional crude oil - imports";"2007";"Metric tons,  thousand";"20036";""
"Belarus";"Conventional crude oil - imports";"2006";"Metric tons,  thousand";"20906";""
"Belarus";"Conventional crude oil - imports";"2005";"Metric tons,  thousand";"19318";""
"Belarus";"Conventional crude oil - imports";"2004";"Metric tons,  thousand";"17814";""
"Belarus";"Conventional crude oil - imports";"2003";"Metric tons,  thousand";"14885";""
"Belarus";"Conventional crude oil - imports";"2002";"Metric tons,  thousand";"14024";""
