"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Austria";"Natural gas (including LNG) - exports";"2010";"Terajoules";"189563";""
"Austria";"Natural gas (including LNG) - exports";"2009";"Terajoules";"109962";""
"Austria";"Natural gas (including LNG) - exports";"2008";"Terajoules";"75641";""
"Austria";"Natural gas (including LNG) - exports";"2007";"Terajoules";"105297";""
"Austria";"Natural gas (including LNG) - exports";"2006";"Terajoules";"99114";""
"Austria";"Natural gas (including LNG) - exports";"2005";"Terajoules";"40809";""
"Austria";"Natural gas (including LNG) - exports";"2004";"Terajoules";"54209";""
"Austria";"Natural gas (including LNG) - exports";"2003";"Terajoules";"45387";""
"Austria";"Natural gas (including LNG) - exports";"2002";"Terajoules";"27422";""
"Austria";"Natural gas (including LNG) - exports";"2001";"Terajoules";"16347";""
"Austria";"Natural gas (including LNG) - exports";"2000";"Terajoules";"704";""
"Austria";"Natural gas (including LNG) - exports";"1999";"Terajoules";"0";""
"Austria";"Natural gas (including LNG) - exports";"1998";"Terajoules";"768";""
"Austria";"Natural gas (including LNG) - exports";"1997";"Terajoules";"0";""
"Austria";"Natural gas (including LNG) - exports";"1996";"Terajoules";"0";""
"Austria";"Natural gas (including LNG) - exports";"1995";"Terajoules";"634";""
"Austria";"Natural gas (including LNG) - exports";"1994";"Terajoules";"208";""
"Austria";"Natural gas (including LNG) - exports";"1993";"Terajoules";"0";""
"Austria";"Natural gas (including LNG) - exports";"1992";"Terajoules";"13";""
"Austria";"Natural gas (including LNG) - exports";"1991";"Terajoules";"0";""
"Austria";"Natural gas (including LNG) - exports";"1990";"Terajoules";"0";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2014";"Terajoules";"316112";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2013";"Terajoules";"285450";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2012";"Terajoules";"258460";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2011";"Terajoules";"266272";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2010";"Terajoules";"241672";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2009";"Terajoules";"228449.2";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2008";"Terajoules";"204814";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2007";"Terajoules";"70984";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2006";"Terajoules";"2536";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2005";"Terajoules";"0";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2004";"Terajoules";"0";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2003";"Terajoules";"0";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2002";"Terajoules";"0";""
"Azerbaijan";"Natural gas (including LNG) - exports";"2001";"Terajoules";"0";""
"Azerbaijan";"Natural gas (including LNG) - exports";"1995";"Terajoules";"2375";""
"Azerbaijan";"Natural gas (including LNG) - exports";"1994";"Terajoules";"0";""
"Azerbaijan";"Natural gas (including LNG) - exports";"1993";"Terajoules";"17342";""
"Azerbaijan";"Natural gas (including LNG) - exports";"1992";"Terajoules";"35853";""
"Belgium";"Natural gas (including LNG) - exports";"2014";"Terajoules";"33730";""
"Belgium";"Natural gas (including LNG) - exports";"2013";"Terajoules";"36740";""
"Belgium";"Natural gas (including LNG) - exports";"2012";"Terajoules";"50174";""
"Belgium";"Natural gas (including LNG) - exports";"2011";"Terajoules";"157038";""
"Belgium";"Natural gas (including LNG) - exports";"2010";"Terajoules";"128123";""
"Belgium";"Natural gas (including LNG) - exports";"2009";"Terajoules";"140866";""
"Belgium";"Natural gas (including LNG) - exports";"2008";"Terajoules";"27567";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2014";"Terajoules";"696662";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2013";"Terajoules";"666515";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2012";"Terajoules";"568814";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2011";"Terajoules";"490116";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2010";"Terajoules";"455388";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2009";"Terajoules";"384322";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2008";"Terajoules";"471465";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2007";"Terajoules";"462987";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2006";"Terajoules";"362926";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2005";"Terajoules";"385592";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2004";"Terajoules";"308586";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2003";"Terajoules";"195978";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2002";"Terajoules";"146895";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2001";"Terajoules";"140073";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"2000";"Terajoules";"78134";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"1999";"Terajoules";"36195";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"1998";"Terajoules";"55389";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"1997";"Terajoules";"55634";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"1996";"Terajoules";"71365";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"1995";"Terajoules";"92373";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"1994";"Terajoules";"97543";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"1993";"Terajoules";"94109";""
