LOCATION,MEASURE,TIME,Value
CZE,AGRWTH,1999,-0.08715498
CZE,AGRWTH,2000,10.61251
CZE,AGRWTH,2001,0.7804878
CZE,AGRWTH,2002,-4.574056
CZE,AGRWTH,2003,-0.0253614
CZE,AGRWTH,2004,4.008118
CZE,AGRWTH,2005,-0.4796748
CZE,AGRWTH,2006,-0.612695
CZE,AGRWTH,2007,2.20286
CZE,AGRWTH,2008,-1.093775
CZE,AGRWTH,2009,-2.447552
CZE,AGRWTH,2010,0.02500625
CZE,AGRWTH,2011,3.533333
CZE,AGRWTH,2012,2.615905
CZE,AGRWTH,2013,0.7843753
CZE,AGRWTH,2014,2.490466
CZE,AGRWTH,2015,-2.634976
CZE,AGRWTH,2016,-2.963656
CZE,IDX2010,1996,84.7025
CZE,IDX2010,1997,88.75333
CZE,IDX2010,1998,92.74667
CZE,IDX2010,1999,92.66583
CZE,IDX2010,2000,102.5
CZE,IDX2010,2001,103.3
CZE,IDX2010,2002,98.575
CZE,IDX2010,2003,98.55
CZE,IDX2010,2004,102.5
CZE,IDX2010,2005,102.0083
CZE,IDX2010,2006,101.3833
CZE,IDX2010,2007,103.6167
CZE,IDX2010,2008,102.4833
CZE,IDX2010,2009,99.975
CZE,IDX2010,2010,100
CZE,IDX2010,2011,103.5333
CZE,IDX2010,2012,106.2417
CZE,IDX2010,2013,107.075
CZE,IDX2010,2014,109.7417
CZE,IDX2010,2015,106.85
CZE,IDX2010,2016,103.6833
DNK,AGRWTH,1986,-3.0491
DNK,AGRWTH,1987,0.7453752
DNK,AGRWTH,1988,4.03537
DNK,AGRWTH,1989,5.636484
DNK,AGRWTH,1990,1.96849
DNK,AGRWTH,1991,1.058177
DNK,AGRWTH,1992,-0.3215761
DNK,AGRWTH,1993,-1.421763
DNK,AGRWTH,1994,0.5913762
DNK,AGRWTH,1995,3.059361
DNK,AGRWTH,1996,1.755649
DNK,AGRWTH,1997,1.645893
DNK,AGRWTH,1998,-0.4947685
DNK,AGRWTH,1999,0.3939084
DNK,AGRWTH,2000,4.651537
DNK,AGRWTH,2001,2.858021
DNK,AGRWTH,2002,1.015835
DNK,AGRWTH,2003,-1.31349E-14
DNK,AGRWTH,2004,1.015479
DNK,AGRWTH,2005,3.06461
DNK,AGRWTH,2006,3.238636
DNK,AGRWTH,2007,3.302146
DNK,AGRWTH,2008,4.404191
DNK,AGRWTH,2009,-1.522368
DNK,AGRWTH,2010,3.635893
DNK,AGRWTH,2011,3.716667
DNK,AGRWTH,2012,2.450587
DNK,AGRWTH,2013,0.5960317
DNK,AGRWTH,2014,-0.01559211
DNK,AGRWTH,2015,0.5925926
DNK,AGRWTH,2016,-0.01550267
DNK,IDX2010,1985,66.76833
DNK,IDX2010,1986,64.7325
DNK,IDX2010,1987,65.215
DNK,IDX2010,1988,67.84666
DNK,IDX2010,1989,71.67083
DNK,IDX2010,1990,73.08167
DNK,IDX2010,1991,73.855
DNK,IDX2010,1992,73.6175
DNK,IDX2010,1993,72.57083
DNK,IDX2010,1994,73
DNK,IDX2010,1995,75.23333
DNK,IDX2010,1996,76.55417
DNK,IDX2010,1997,77.81416
DNK,IDX2010,1998,77.42917
DNK,IDX2010,1999,77.73417
DNK,IDX2010,2000,81.35
DNK,IDX2010,2001,83.675
DNK,IDX2010,2002,84.525
DNK,IDX2010,2003,84.525
DNK,IDX2010,2004,85.38333
DNK,IDX2010,2005,88
DNK,IDX2010,2006,90.85
DNK,IDX2010,2007,93.85
DNK,IDX2010,2008,97.98333
DNK,IDX2010,2009,96.49167
DNK,IDX2010,2010,100
DNK,IDX2010,2011,103.7167
DNK,IDX2010,2012,106.2583
DNK,IDX2010,2013,106.8917
DNK,IDX2010,2014,106.875
DNK,IDX2010,2015,107.5083
DNK,IDX2010,2016,107.4917
FIN,AGRWTH,1996,-0.8053691
FIN,AGRWTH,1997,-0.135318
FIN,AGRWTH,1998,-1.355014
FIN,AGRWTH,1999,-2.446772
FIN,AGRWTH,2000,7.110798
FIN,AGRWTH,2001,-2.998932
FIN,AGRWTH,2002,-3.735389
FIN,AGRWTH,2003,-2.868456
FIN,AGRWTH,2004,0.1358819
FIN,AGRWTH,2005,2.297811
FIN,AGRWTH,2006,3.24549
FIN,AGRWTH,2007,2.569593
FIN,AGRWTH,2008,3.624217
FIN,AGRWTH,2009,-7.583206
FIN,AGRWTH,2010,4.647716
FIN,AGRWTH,2011,5.491209
FIN,AGRWTH,2012,1.579779
FIN,AGRWTH,2013,-0.7387247
FIN,AGRWTH,2014,-0.6815511
FIN,AGRWTH,2015,-1.877268
FIN,AGRWTH,2016,-2.540193
FIN,IDX2010,1995,99.33334
FIN,IDX2010,1996,98.53333
FIN,IDX2010,1997,98.4
FIN,IDX2010,1998,97.06667
FIN,IDX2010,1999,94.69167
FIN,IDX2010,2000,101.425
FIN,IDX2010,2001,98.38333
FIN,IDX2010,2002,94.70834
FIN,IDX2010,2003,91.99167
FIN,IDX2010,2004,92.11667
