LOCATION,SUBJECT,TIME,Value
BEL,CONSTR,2010,100
BEL,CONSTR,2011,105.1908
BEL,CONSTR,2012,104.3409
BEL,CONSTR,2013,100.8749
BEL,CONSTR,2014,100.3749
BEL,CONSTR,2015,98.36694
BEL,CONSTR,2016,99.03349
BEL,MFG,1958,19.86452
BEL,MFG,1959,21.2251
BEL,MFG,1960,22.92662
BEL,MFG,1961,24.67227
BEL,MFG,1962,26.22254
BEL,MFG,1963,28.4088
BEL,MFG,1964,30.27408
BEL,MFG,1965,31.2077
BEL,MFG,1966,32.154
BEL,MFG,1967,32.81746
BEL,MFG,1968,34.90668
BEL,MFG,1969,38.99088
BEL,MFG,1970,40.53846
BEL,MFG,1971,41.14687
BEL,MFG,1972,44.29031
BEL,MFG,1973,47.4602
BEL,MFG,1974,49.60726
BEL,MFG,1975,44.44902
BEL,MFG,1976,47.90989
BEL,MFG,1977,48.25378
BEL,MFG,1978,49.55436
BEL,MFG,1979,52.08057
BEL,MFG,1980,51.1371
BEL,MFG,1981,49.79684
BEL,MFG,1982,49.8277
BEL,MFG,1983,50.87257
BEL,MFG,1984,52.19079
BEL,MFG,1985,53.3018
BEL,MFG,1986,53.71181
BEL,MFG,1987,55.11379
BEL,MFG,1988,59.62835
BEL,MFG,1989,61.20228
BEL,MFG,1990,57.85603
BEL,MFG,1991,58.93397
BEL,MFG,1992,57.11558
BEL,MFG,1993,56.65217
BEL,MFG,1994,57.82581
BEL,MFG,1995,61.61874
BEL,MFG,1996,61.81519
BEL,MFG,1997,64.83241
BEL,MFG,1998,66.73643
BEL,MFG,1999,67.36102
BEL,MFG,2000,68.7526
BEL,MFG,2001,73.22723
BEL,MFG,2002,73.38555
BEL,MFG,2003,75.27706
BEL,MFG,2004,81.5182
BEL,MFG,2005,84.71794
BEL,MFG,2006,90.84243
BEL,MFG,2007,97.45854
BEL,MFG,2008,101.8248
BEL,MFG,2009,89.05924
BEL,MFG,2010,100
BEL,MFG,2011,106.0245
BEL,MFG,2012,104.8329
BEL,MFG,2013,105.6995
BEL,MFG,2014,108.9409
BEL,MFG,2015,109.1992
BEL,MFG,2016,111.724
BEL,TOT,1955,22.64596
BEL,TOT,1956,24.08167
BEL,TOT,1957,23.97757
BEL,TOT,1958,22.94525
BEL,TOT,1959,23.98624
BEL,TOT,1960,25.63882
BEL,TOT,1961,27.26971
BEL,TOT,1962,28.80518
BEL,TOT,1963,31.09537
BEL,TOT,1964,32.95181
BEL,TOT,1965,33.76725
BEL,TOT,1966,34.44823
BEL,TOT,1967,35.03379
BEL,TOT,1968,36.97698
BEL,TOT,1969,40.59877
BEL,TOT,1970,41.80025
BEL,TOT,1971,42.53763
BEL,TOT,1972,45.73869
BEL,TOT,1973,48.51793
BEL,TOT,1974,50.52131
BEL,TOT,1975,45.58922
BEL,TOT,1976,49.11407
BEL,TOT,1977,49.33437
BEL,TOT,1978,50.53929
BEL,TOT,1979,52.81425
BEL,TOT,1980,52.15784
BEL,TOT,1981,50.71913
BEL,TOT,1982,50.70564
BEL,TOT,1983,51.69026
BEL,TOT,1984,52.99409
BEL,TOT,1985,54.30243
BEL,TOT,1986,54.73404
BEL,TOT,1987,55.90299
BEL,TOT,1988,59.16707
BEL,TOT,1989,61.19476
BEL,TOT,1990,63.07385
BEL,TOT,1991,61.84972
BEL,TOT,1992,61.60075
BEL,TOT,1993,58.44705
BEL,TOT,1994,59.666
BEL,TOT,1995,63.51993
BEL,TOT,1996,63.84671
BEL,TOT,1997,66.82405
BEL,TOT,1998,69.08039
BEL,TOT,1999,69.69764
BEL,TOT,2000,70.9406
BEL,TOT,2001,74.53136
BEL,TOT,2002,74.9146
BEL,TOT,2003,76.90578
BEL,TOT,2004,82.35441
BEL,TOT,2005,85.337
BEL,TOT,2006,90.63567
BEL,TOT,2007,96.64251
BEL,TOT,2008,100.075
BEL,TOT,2009,90.16912
BEL,TOT,2010,100
BEL,TOT,2011,104.6655
BEL,TOT,2012,102.566
BEL,TOT,2013,103.4825
BEL,TOT,2014,104.5155
BEL,TOT,2015,104.5655
BEL,TOT,2016,108.9894
CAN,CONSTR,1961,30.72082
CAN,CONSTR,1962,31.50288
CAN,CONSTR,1963,31.50133
CAN,CONSTR,1964,33.19425
CAN,CONSTR,1965,35.92061
CAN,CONSTR,1966,36.66699
CAN,CONSTR,1967,36.95406
CAN,CONSTR,1968,39.32042
CAN,CONSTR,1969,38.11784
CAN,CONSTR,1970,38.65008
CAN,CONSTR,1971,38.65939
CAN,CONSTR,1972,38.57249
CAN,CONSTR,1973,39.59662
CAN,CONSTR,1974,40.86437
CAN,CONSTR,1975,45.5071
CAN,CONSTR,1976,51.13516
CAN,CONSTR,1977,53.60549
CAN,CONSTR,1978,50.91327
CAN,CONSTR,1979,51.56964
CAN,CONSTR,1980,55.54203
CAN,CONSTR,1981,58.80062
CAN,CONSTR,1982,57.91968
CAN,CONSTR,1983,56.96639
CAN,CONSTR,1984,54.33916
